pkl,book_slug,source_lang,metric,metric_label,n_chunks,mean_ht_score,mean_mt_score,sd_ht_score,sd_mt_score,mean_preference_delta,median_preference_delta
hooked_a_novel_of_obsession_ja_en,hooked_a_novel_of_obsession,ja,litransproqa,LitTransProQA,29,0.9123745089480576,0.9993016150152771,0.1514425400030552,0.0037609182415605552,-0.08692710606721957,-0.018987341772152
hooked_a_novel_of_obsession_ja_en,hooked_a_novel_of_obsession,ja,metricx-qe,MetricX-QE,29,9.203331371833539,8.784891358737287,1.757809306567741,1.7385568795438824,-0.41844001309625034,-0.27971410751342773
hooked_a_novel_of_obsession_ja_en,hooked_a_novel_of_obsession,ja,paragraph_mean_cometkiwi,COMETKiwi (paragraph mean),29,0.6905204679802955,0.7401970689655172,0.04088111726258663,0.029229633795671357,-0.04967660098522165,-0.04785000000000006
hooked_a_novel_of_obsession_ja_en,hooked_a_novel_of_obsession,ja,paragraph_mean_metricx-qe,MetricX-QE (paragraph mean),29,6.351499668333821,6.1581666261275805,1.5728342789350644,1.3974119006770722,-0.19333304220623962,-0.009668737649917603
inner_space_pl_en,inner_space,pl,litransproqa,LitTransProQA,26,0.8948393378773125,1.0,0.17739201777454117,0.0,-0.10516066212268747,-0.018987341772152
inner_space_pl_en,inner_space,pl,metricx-qe,MetricX-QE,26,8.456673860549927,7.384456194364107,1.891742983070703,1.4113613436472954,-1.0722176661858192,-0.9765732288360596
inner_space_pl_en,inner_space,pl,paragraph_mean_cometkiwi,COMETKiwi (paragraph mean),25,0.7213089048622875,0.7407459459468068,0.0638436103571266,0.06495627020831629,-0.019437041084519335,-0.01685000000000003
inner_space_pl_en,inner_space,pl,paragraph_mean_metricx-qe,MetricX-QE (paragraph mean),26,5.8790898746525935,5.339294253366289,1.1729813860352936,1.024061495666275,-0.5397956212863062,-0.5941989024480181
kokun_the_girl_from_the_west_ja_en,kokun_the_girl_from_the_west,ja,litransproqa,LitTransProQA,24,0.9729694092827005,1.0,0.04446134389262978,0.0,-0.0270305907172996,0.0
kokun_the_girl_from_the_west_ja_en,kokun_the_girl_from_the_west,ja,metricx-qe,MetricX-QE,24,9.608586927254995,9.5404944618543,1.4580172444005475,1.42820957898814,-0.0680924654006958,0.1059579849243164
kokun_the_girl_from_the_west_ja_en,kokun_the_girl_from_the_west,ja,paragraph_mean_cometkiwi,COMETKiwi (paragraph mean),24,0.71020339935497,0.7803640101265693,0.03272097385826293,0.0195495885907055,-0.07016061077159925,-0.06375256410256408
kokun_the_girl_from_the_west_ja_en,kokun_the_girl_from_the_west,ja,paragraph_mean_metricx-qe,MetricX-QE (paragraph mean),24,5.83402408948156,4.43104903003567,0.7830380825320699,0.6172917575247963,-1.4029750594458907,-1.1371209888886185
make_me_famous_fr_en,make_me_famous,fr,litransproqa,LitTransProQA,27,0.9170417252695734,0.9978199718706047,0.12058976694261832,0.011327758446125578,-0.08077824660103143,-0.03797468354430389
make_me_famous_fr_en,make_me_famous,fr,metricx-qe,MetricX-QE,27,6.849110205968221,6.8326455222235785,1.6470178523320482,1.7242691708573987,-0.01646468374464247,0.09026360511779785
make_me_famous_fr_en,make_me_famous,fr,paragraph_mean_cometkiwi,COMETKiwi (paragraph mean),27,0.7605366666666667,0.7974333641975309,0.053982538141007196,0.04644826930460642,-0.03689669753086421,-0.03170000000000006
make_me_famous_fr_en,make_me_famous,fr,paragraph_mean_metricx-qe,MetricX-QE (paragraph mean),27,4.3006322213897,4.2444663989691085,0.9244469473775819,1.0603971908644663,-0.05616582242059122,0.15864136815071106
mona_s_eyes_fr_en,mona_s_eyes,fr,litransproqa,LitTransProQA,29,0.9720427760803143,0.9993452640768223,0.07343663412431259,0.003525860851463028,-0.027302487996508088,0.0
mona_s_eyes_fr_en,mona_s_eyes,fr,metricx-qe,MetricX-QE,29,7.544366458366657,7.383048106884134,1.53185568172501,1.556815339309828,-0.1613183514825229,-0.2799525260925293
mona_s_eyes_fr_en,mona_s_eyes,fr,paragraph_mean_cometkiwi,COMETKiwi (paragraph mean),26,0.7668058709346209,0.7816531555944055,0.05066972619201972,0.04804959631121664,-0.014847284659784658,-0.006781249999999961
mona_s_eyes_fr_en,mona_s_eyes,fr,paragraph_mean_metricx-qe,MetricX-QE (paragraph mean),29,5.276648356831165,5.109012857333531,1.5945237394026732,1.4226364057348408,-0.16763549949763432,-0.06084179878234863
my_grandfather_the_master_detective_ja_en,my_grandfather_the_master_detective,ja,litransproqa,LitTransProQA,22,0.9752013808975835,1.0,0.04451625471249479,0.0,-0.024798619102416597,0.0
my_grandfather_the_master_detective_ja_en,my_grandfather_the_master_detective,ja,metricx-qe,MetricX-QE,22,9.066117893565785,9.072639281099493,2.0664501921289005,2.0712883799523496,0.006521387533708053,-0.2032642364501953
my_grandfather_the_master_detective_ja_en,my_grandfather_the_master_detective,ja,paragraph_mean_cometkiwi,COMETKiwi (paragraph mean),22,0.7020427157701105,0.7716226941210894,0.043538626595255585,0.02041641924628237,-0.06957997835097904,-0.0670472941176471
my_grandfather_the_master_detective_ja_en,my_grandfather_the_master_detective,ja,paragraph_mean_metricx-qe,MetricX-QE (paragraph mean),22,5.333050457886622,4.031135470304967,1.345078431885545,0.7392547050123014,-1.3019149875816542,-1.1383922304480507
my_name_is_stramer_pl_en,my_name_is_stramer,pl,litransproqa,LitTransProQA,26,0.9704479065238558,0.9937439143135346,0.08802626103598095,0.021050999732737122,-0.023296007789678684,0.0
my_name_is_stramer_pl_en,my_name_is_stramer,pl,metricx-qe,MetricX-QE,26,8.512363268778874,8.548279743928175,1.3296807149965717,1.074753080490504,0.03591647514930138,0.17849254608154297
my_name_is_stramer_pl_en,my_name_is_stramer,pl,paragraph_mean_cometkiwi,COMETKiwi (paragraph mean),26,0.7065108699100046,0.7454583677113485,0.04199948941139747,0.02327272569922458,-0.038947497801343954,-0.021531249999999946
my_name_is_stramer_pl_en,my_name_is_stramer,pl,paragraph_mean_metricx-qe,MetricX-QE (paragraph mean),26,5.967948784863681,5.310955683756846,0.9520133112141645,0.5625969632000469,-0.6569931011068362,-0.6059560914834345
needle_s_eye_pl_en,needle_s_eye,pl,litransproqa,LitTransProQA,25,0.9364050632911392,0.9992405063291139,0.11597732421417806,0.0037974683544304004,-0.0628354430379747,0.0
needle_s_eye_pl_en,needle_s_eye,pl,metricx-qe,MetricX-QE,24,10.496987144152323,10.350522438685099,1.9771274737720173,1.4835813315648771,-0.14646470546722412,-0.08121776580810547
needle_s_eye_pl_en,needle_s_eye,pl,paragraph_mean_cometkiwi,COMETKiwi (paragraph mean),22,0.6976800993514062,0.7140906551213937,0.05358094345267207,0.056351345116716016,-0.016410555769987588,-0.018309999999999993
needle_s_eye_pl_en,needle_s_eye,pl,paragraph_mean_metricx-qe,MetricX-QE (paragraph mean),24,7.123330763819928,7.148940124049393,2.101674428220591,2.0706346191072105,0.025609360229464178,0.0567171573638916
sisters_in_yellow_ja_en,sisters_in_yellow,ja,litransproqa,LitTransProQA,26,0.9350778967867576,0.9933057448880234,0.128482593128263,0.030489345068332,-0.058227848101265835,0.0
sisters_in_yellow_ja_en,sisters_in_yellow,ja,metricx-qe,MetricX-QE,26,9.108513832092285,8.390235350682186,1.79762701043308,1.6232141953201424,-0.7182784814100999,-0.7004313468933105
sisters_in_yellow_ja_en,sisters_in_yellow,ja,paragraph_mean_cometkiwi,COMETKiwi (paragraph mean),26,0.7344866958819101,0.7833542653786962,0.02874550580197103,0.021580914130155622,-0.04886756949678625,-0.05012705882352941
sisters_in_yellow_ja_en,sisters_in_yellow,ja,paragraph_mean_metricx-qe,MetricX-QE (paragraph mean),26,4.99046499593815,4.21822949971511,0.8698936332455304,0.7066536139746402,-0.7722354962230399,-0.6006600175585068
symphony_of_monsters_fr_en,symphony_of_monsters,fr,litransproqa,LitTransProQA,26,0.9157497565725414,0.9992210321324245,0.1634579980490407,0.003971972357229064,-0.08347127555988318,0.0
symphony_of_monsters_fr_en,symphony_of_monsters,fr,metricx-qe,MetricX-QE,26,7.272839307785034,6.806001498148992,0.8618482935453009,0.961887602730909,-0.46683780963604266,-0.48806166648864746
symphony_of_monsters_fr_en,symphony_of_monsters,fr,paragraph_mean_cometkiwi,COMETKiwi (paragraph mean),26,0.7775687316849816,0.8007280921855922,0.05018530701257107,0.03787352865435056,-0.02315936050061049,-0.016110000000000013
symphony_of_monsters_fr_en,symphony_of_monsters,fr,paragraph_mean_metricx-qe,MetricX-QE (paragraph mean),26,4.642564814784297,4.410821301283563,0.9333027571776271,0.7972338228951082,-0.23174351350073405,-0.15753811796506234
the_ark_ja_en,the_ark,ja,litransproqa,LitTransProQA,23,0.875811777655476,0.9914694551458448,0.156393155599927,0.030566689377459454,-0.11565767749036876,-0.018987341772152
the_ark_ja_en,the_ark,ja,metricx-qe,MetricX-QE,23,8.560535202855649,7.693106112272843,1.1155760126217318,1.228127961603957,-0.8674290905828062,-1.2554268836975098
the_ark_ja_en,the_ark,ja,paragraph_mean_cometkiwi,COMETKiwi (paragraph mean),23,0.7290599250106955,0.7966704289235204,0.02553094806893787,0.016985034949493265,-0.06761050391282487,-0.07091764705882353
the_ark_ja_en,the_ark,ja,paragraph_mean_metricx-qe,MetricX-QE (paragraph mean),23,4.774897497356638,3.3921157253106027,0.6629988119918859,0.43493392707678696,-1.3827817720460351,-1.1949763794740043
the_empusium_a_health_resort_horror_story_pl_en,the_empusium_a_health_resort_horror_story,pl,litransproqa,LitTransProQA,28,0.9845388788426763,1.0,0.05246691049467441,0.0,-0.015461121157323692,0.0
the_empusium_a_health_resort_horror_story_pl_en,the_empusium_a_health_resort_horror_story,pl,metricx-qe,MetricX-QE,28,7.862408535821097,7.669497353690011,1.1242497801407878,1.0597551570718655,-0.19291118213108607,-0.20623779296875
the_empusium_a_health_resort_horror_story_pl_en,the_empusium_a_health_resort_horror_story,pl,paragraph_mean_cometkiwi,COMETKiwi (paragraph mean),28,0.6895857413419914,0.7132005465367965,0.08478391387904881,0.0934784052200434,-0.023614805194805195,-0.01341250000000005
the_empusium_a_health_resort_horror_story_pl_en,the_empusium_a_health_resort_horror_story,pl,paragraph_mean_metricx-qe,MetricX-QE (paragraph mean),28,5.796555579578689,5.5085978271923475,1.3114605566868194,1.195914486115177,-0.28795775238634186,-0.407181978225708
the_story_of_marceau_miller_fr_en,the_story_of_marceau_miller,fr,litransproqa,LitTransProQA,24,0.5560917721518986,1.0,0.27599107073423357,0.0,-0.4439082278481013,-0.48860759493670886
the_story_of_marceau_miller_fr_en,the_story_of_marceau_miller,fr,metricx-qe,MetricX-QE,24,9.131087919076284,8.649716873963675,2.0400532037606434,1.2839327637776627,-0.48137104511260986,-0.8373501300811768
the_story_of_marceau_miller_fr_en,the_story_of_marceau_miller,fr,paragraph_mean_cometkiwi,COMETKiwi (paragraph mean),22,0.7096745196848606,0.7858344162781663,0.06810583571950862,0.03586173284579229,-0.07615989659330567,-0.057469999999999966
the_story_of_marceau_miller_fr_en,the_story_of_marceau_miller,fr,paragraph_mean_metricx-qe,MetricX-QE (paragraph mean),24,6.397096334885312,5.496357624810819,2.1805206278402363,1.6830773642963748,-0.9007387100744931,-1.2102199867367744
the_witcher_crossroads_of_ravens_pl_en,the_witcher_crossroads_of_ravens,pl,litransproqa,LitTransProQA,23,0.9886075949367089,0.9581177765547606,0.041980857429271996,0.15794216467120334,0.030489818381948273,0.0
the_witcher_crossroads_of_ravens_pl_en,the_witcher_crossroads_of_ravens,pl,metricx-qe,MetricX-QE,23,10.203536634859832,10.127101877461309,1.1125948183560335,1.5403282900347337,-0.07643475739852242,0.001708984375
the_witcher_crossroads_of_ravens_pl_en,the_witcher_crossroads_of_ravens,pl,paragraph_mean_cometkiwi,COMETKiwi (paragraph mean),23,0.6742018045722393,0.6842551082854343,0.04244238046757229,0.04145490175613969,-0.01005330371319503,-0.006250000000000089
the_witcher_crossroads_of_ravens_pl_en,the_witcher_crossroads_of_ravens,pl,paragraph_mean_metricx-qe,MetricX-QE (paragraph mean),23,6.793050199025396,6.732017580483822,0.9344078413886516,1.1116021648544605,-0.06103261854157388,-0.005145284864637389
watching_over_her_fr_en,watching_over_her,fr,litransproqa,LitTransProQA,28,0.9610759493670885,0.9970388788426764,0.09505844671693894,0.015668780368420496,-0.03596292947558772,0.0
watching_over_her_fr_en,watching_over_her,fr,metricx-qe,MetricX-QE,28,8.650108831269401,8.638060688972473,1.679503375828371,1.5569268806352787,-0.012048142296927316,-0.06843042373657227
watching_over_her_fr_en,watching_over_her,fr,paragraph_mean_cometkiwi,COMETKiwi (paragraph mean),28,0.7441476828231293,0.764314162414966,0.06062688734781658,0.07096734927112462,-0.020166479591836737,-0.022283333333333377
watching_over_her_fr_en,watching_over_her,fr,paragraph_mean_metricx-qe,MetricX-QE (paragraph mean),28,5.757255037828367,5.990840168500028,1.1762518004655929,1.3813483190543439,0.23358513067166023,0.029813803519521898
